rank,GID_3,NAME_3,NAME_2,NAME_1,TYPE_3,cells,risk_mean,risk_max,risk_p75,risk_p90,risk_p95,class_max,class_3plus_cells,class_3plus_pct,risk_mean_norm,risk_max_norm,risk_p75_norm,risk_p90_norm,risk_p95_norm
11,THA.32.13.9_1,ThaWangPha,ThaWangPha,Nan,Tambon,729,0.38203707337379456,0.5209395885467529,0.4078805446624756,0.44169363379478455,0.4520742893218994,3,46,6.310013717421124,0.26972623854095357,0.7623485748573146,0.3613809590397321,0.48130019121267265,0.5181155272913257
12,THA.75.7.8_1,ThaPla,ThaPla,Uttaradit,Tambon,17886,0.3725597560405731,0.4955369234085083,0.42034009099006653,0.43967580795288086,0.45640262961387634,3,1110,6.205971150620597,0.2361146210631154,0.6722571878620381,0.4055691496833433,0.4741439055307296,0.5334661284258762
13,THA.10.22.5_1,NongChom,SanSai,ChiangMai,Tambon,1444,0.3876388370990753,0.5158252716064453,0.4149138927459717,0.43859609961509705,0.4541567862033844,3,87,6.024930747922438,0.2895930777440012,0.7442104817014091,0.3863249592308285,0.4703146844166481,0.5255011709411276
14,THA.10.16.8_1,PhraSing,MuangChiangMai,ChiangMai,Tambon,135,0.40340521931648254,0.46543043851852417,0.4134056866168976,0.4380389153957367,0.4456062912940979,3,5,3.7037037037037033,0.34550907057915425,0.5654835494847215,0.3809760566135793,0.46833861226591617,0.4951765596579628
15,THA.10.16.1_1,NA,MuangChiangMai,ChiangMai,Tambon,8392,0.36876195669174194,0.5323849320411682,0.4147699475288391,0.43693864345550537,0.45487257838249207,3,510,6.0772163965681605,0.2226456008243358,0.8029398618123529,0.38581445278623955,0.4644364616597505,0.528039751435152
16,THA.10.20.7_1,SanKlang,SanKamphaeng,ChiangMai,Tambon,765,0.38413771986961365,0.5174024701118469,0.4118075370788574,0.4369357228279114,0.44808852672576904,3,36,4.705882352941177,0.2771762503946384,0.7498040680493464,0.375308166739649,0.46442610355797626,0.5039798892169307
17,THA.10.21.6_1,ThaWangPhrao,SanPaTong,ChiangMai,Tambon,711,0.3682880103588104,0.5013484954833984,0.3828887939453125,0.4363376796245575,0.4454668462276459,3,20,2.8129395218002813,0.2209647345741705,0.6928681192741761,0.2727468935471457,0.46230512367732063,0.4946820131456995
18,THA.20.6.11_1,WiangYong,MuangLamphun,Lamphun,Tambon,1448,0.3814185559749603,0.5139541029930115,0.40754297375679016,0.4358040392398834,0.4528599977493286,3,91,6.284530386740332,0.26753264625296197,0.7375743207014168,0.36018375272547554,0.4604125505102792,0.5209020680584362
19,THA.47.3.11_1,ThungHong,MuangPhrae,Phrae,Tambon,898,0.3861355781555176,0.5145291686058044,0.41019296646118164,0.4356251060962677,0.4472822844982147,3,35,3.8975501113585747,0.2842617204828186,0.7396138098017871,0.3695820389669675,0.4597779582342311,0.5011205246526521
20,THA.10.7.9_1,SanPhakWan,HangDong,ChiangMai,Tambon,1014,0.3905385136604309,0.5101497769355774,0.4152359962463379,0.4346955716609955,0.4470621645450592,3,43,4.240631163708087,0.2998768759922771,0.7240821532760192,0.38746730988364786,0.45648133380219597,0.5003398620026037
21,THA.10.23.6_1,NongPhueng,Saraphi,ChiangMai,Tambon,1220,0.3822709918022156,0.5179992914199829,0.4073293209075928,0.4342864751815796,0.448737770318985,3,54,4.426229508196721,0.27055583793713966,0.7519207144384434,0.35942602587221295,0.4550304596893859,0.5062824529633843
22,THA.19.11.1_1,MaeKua,SopPrap,Lampang,Tambon,11459,0.375536173582077,0.5265564322471619,0.40336519479751587,0.43362489342689514,0.44569680094718933,3,409,3.5692468801815167,0.246670583720256,0.7822688956878905,0.3453671223068803,0.4526841382476819,0.49549755511804905
23,THA.10.7.10_1,SopMaeKha,HangDong,ChiangMai,Tambon,740,0.3707297146320343,0.4939240515232086,0.40013638138771057,0.43330511450767517,0.44091323018074036,3,17,2.2972972972972974,0.2296243190472914,0.6665370846995723,0.333916029405594,0.4515500317983155,0.4785324641406216
